"Type","land Mark","Bathroom","categoryName","price","Bedroom","Floor","Kitchen","Living Room","name","location/locationDescription","location/locationLatitude","location/locationLongitude"
"Land - Plotted",,,"For Sale - Land","1600000",,,,,"LAND ON SALE AT BISTACHAP","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","5500000",,,,,"Property on sale, one storey resident house free","Location","27.76844024658203","85.36212158203125"
"Hostel",,,"Business & Shop For Sale","1699000",,,,,"GIRLS HOSTEL FOR SALE AT BANESWAR MIN BHAWAN KTM","Gyankunza Marg, Suruchi Tol, Om Shanti Chok, Kathmandu Metropolitan City, Kathmandu","27.6867618560791","85.34346008300781"
"Hostel",,,"Business & Shop For Sale","1999000",,,,,"GIRLS HOSTEL FOR SALE AT BANESWAR MIN BHAWAN KTM","Madan Bhandari Path, Aalok Nagar, Minbhawan, Kathmandu Metropolitan City, Kathmandu","27.686384201049805","85.34423065185547"
"House - Individual",,"1","For Rent - Flat & Apartment","15000","1","2",,"0","1bk","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"1","For Rent - Flat & Apartment","6500","1","0",,"0","Single Room","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","1600000",,,,,"3.5 AANA LAND ON SALE AT CHAPAGAUN","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","1100000",,,,,"LAND ON SALE AT CHAPAGAUN","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"1","For Rent - House","26000","2","5","1","1","02 Bhk Flat On Rent Dhumbarai","730/30, Pawan Galli, Anandanagar, Dhumbarahi, Kathmandu Metropolitan City, Kathmandu","27.725200653076172","85.34329986572266"
"House - Individual",,"1","For Rent - Flat & Apartment","8000","1","1",,"0","Single Room","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"7","For Rent - House","160000","7","2.5","2","2","📍BANESHWOR 7 BHK SEMI-FURNISHED WHOLE HOUSE RENT","Baneshwor Height, Kathmandu-10, Kathmandu","27.698617935180664","85.33558654785156"
"Land - Plotted",,,"For Sale - Land","1550000",,,,,"LAND ON SALE AT CHAPAGAUN","Location","27.717199325561523","85.3239974975586"
